__typename,advice,cons,countHelpful,employer,employerResponses,featured,hasEmployerResponse,isCurrentJob,jobTitle,lengthOfEmployment,location,pros,ratingBusinessOutlook,ratingCareerOpportunities,ratingCeo,ratingCompensationAndBenefits,ratingCultureAndValues,ratingDiversityAndInclusion,ratingOverall,ratingRecommendToFriend,ratingSeniorLeadership,ratingWorkLifeBalance,reviewDateTime,reviewId,summary
EmployerReviewRG,,no cons as far as I know,1,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Software Development Engineer'},0,,good infrastructure team work and cooperation,,0.0,,0.0,0,0,5,,0.0,0.0,2021-11-09T05:39:58.443,55105642,awesome
EmployerReviewRG,,Company priorities that often changes too quickly,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,,2,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Solid team, especially on digital marketing team",,0.0,,0.0,0,0,5,,0.0,0.0,2021-11-15T20:11:01.027,55402381,Very fast paced work environment
EmployerReviewRG,,"Tight deadlines, small team for big scopes",0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,{'text': 'Consumer Engagement Executive'},0,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Flexible hours, provide chances to speak up",NEUTRAL,5.0,,5.0,5,5,5,POSITIVE,5.0,4.0,2021-12-09T11:47:58.873,56468169,Great culture in the team
EmployerReviewRG,reduce the workload,Too much sudden working tasks,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Partnership Specialist'},1,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Flexible working hours and styles, good salary, great environment",POSITIVE,4.0,APPROVE,5.0,5,5,5,POSITIVE,4.0,4.0,2022-01-09T09:06:03.953,57635300,Great Flexiblity
EmployerReviewRG,,Not much cons other than salary growth.,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Product Engineer'},2,"{'id': 2940587, 'name': 'Bengaluru', 'type': 'CITY'}",Pure technical intellectual work enviornment.,POSITIVE,4.0,APPROVE,3.0,4,4,4,POSITIVE,4.0,3.0,2022-03-28T04:21:06.160,61866605,One of the elite amongst the tech companies
EmployerReviewRG,,Long hours though still rewarding,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,{'text': 'Intern'},1,,Nice place to work among the brightest minds in Indonesia's tech industry,POSITIVE,4.0,APPROVE,5.0,4,0,5,POSITIVE,4.0,4.0,2018-03-01T00:39:47.003,19474649,Intern
EmployerReviewRG,,"not a healthy environment 
work is not good.",2,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,,0,,"good tech practices
everything inherited from google",NEGATIVE,2.0,NO_OPINION,5.0,1,0,2,NEGATIVE,2.0,2.0,2019-04-29T05:50:00.057,25893334,Not so good.
EmployerReviewRG,,Did not find anything bad,1,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Product Engineer'},0,"{'id': 2940587, 'name': 'Bengaluru', 'type': 'CITY'}","Work culture, timings, salary,  tech stack",POSITIVE,4.0,APPROVE,5.0,4,0,5,POSITIVE,3.0,4.0,2019-10-26T21:56:06.623,30038384,Good
EmployerReviewRG,,- High Benefit gap between engineering team and other,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Data Engineer'},4,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","- Flexible Working Hours
- Energetic Environment",POSITIVE,0.0,APPROVE,0.0,0,0,5,POSITIVE,0.0,0.0,2019-11-25T16:44:01.300,30571081,good for engineering
EmployerReviewRG,None,I cant find any Cons,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Technical Recruiter'},1,"{'id': 3235921, 'name': 'Singapore', 'type': 'CITY'}","Start up environment , Autonomous culture",POSITIVE,5.0,APPROVE,5.0,5,0,5,POSITIVE,5.0,5.0,2020-01-30T22:33:43.750,31604780,Hiring Tech talents for our company
EmployerReviewRG,,Increments are lesser than you will expect,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Product Engineer'},1,"{'id': 2940587, 'name': 'Bengaluru', 'type': 'CITY'}","Learn new things , work life balance",POSITIVE,5.0,APPROVE,3.0,5,0,5,POSITIVE,4.0,5.0,2020-03-26T11:59:19.750,32499370,Amazing place to work
EmployerReviewRG,Great work!,Working from home was quite tedious due to covid,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,{'text': 'Customer Service Associate'},1,"{'id': 3235921, 'name': 'Singapore', 'type': 'CITY'}",Amazing experience overall many incentives,POSITIVE,5.0,APPROVE,5.0,5,0,5,POSITIVE,5.0,5.0,2020-06-13T05:44:31.187,33681310,Great place
EmployerReviewRG,,Rapid change of work situation,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,{'text': 'Sales Coordinator'},2,,"Experience, environment, development, connection and skills",NEUTRAL,4.0,,5.0,5,0,5,POSITIVE,4.0,4.0,2020-10-15T22:27:04.257,37213624,"Good environment, good place to develop skills"
EmployerReviewRG,,-Slow product implementation compared to other start-up,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,{'text': 'Head of Strategic Growth'},0,"{'id': 3179725, 'name': 'Bangkok', 'type': 'CITY'}","-international exposure
-Large data warehouse
-Lots of talents",NEUTRAL,4.0,,3.0,5,5,4,POSITIVE,4.0,5.0,2020-11-16T14:26:04.367,38396002,High learning curve with international experiences
EmployerReviewRG,,career path and data management,1,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Marketing Analytics Manager'},1,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Salary, flexibility, young team, fast pace and smart people",POSITIVE,4.0,APPROVE,5.0,5,5,4,POSITIVE,5.0,3.0,2020-12-08T00:35:19.117,39205675,OK
EmployerReviewRG,no advice,I didn't find any cons lol,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Software Engineer'},2,"{'id': 2940587, 'name': 'Bengaluru', 'type': 'CITY'}",It's good to work with smart people always.,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,2021-01-10T07:39:15.307,40377101,Work Culture
EmployerReviewRG,,1 year finished but I am not being supported for a move,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Fraud Analyst'},2,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",Several learning opportunities free of cost,POSITIVE,3.0,APPROVE,2.0,3,3,3,POSITIVE,2.0,4.0,2021-01-11T16:19:40.833,40478815,Slow growth
EmployerReviewRG,,i have not find any so far,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Business Marketing Salesman'},0,"{'id': 4411842, 'name': 'Bandarlampung', 'type': 'CITY'}","motivating team and leaders, exciting and challenging projects",POSITIVE,3.0,APPROVE,3.0,5,5,5,POSITIVE,5.0,4.0,2021-01-25T17:49:26.377,41401465,convenient working vibes
EmployerReviewRG,,Work life balance is a bit hectic,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,,0,,Great learning curve and knowledgable people,,0.0,,0.0,0,0,5,,0.0,0.0,2021-03-13T23:21:46.777,43959813,Great company to work at
EmployerReviewRG,,"Team structure is all over the place, no clear career track for employees",0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,,0,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Value experiment, and tolerate failures",NEUTRAL,2.0,APPROVE,2.0,4,5,3,POSITIVE,3.0,3.0,2021-04-19T06:51:53.867,45717416,Overall ok
EmployerReviewRG,,Lack of documentations. (PS They are improving on this),0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Software Engineer Manager'},4,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Impact, Scale, Growth, Income, and Flexible",POSITIVE,4.0,APPROVE,4.0,4,4,4,POSITIVE,4.0,5.0,2021-04-22T07:43:04.607,45896928,Nice place to work
EmployerReviewRG,,Nothing I can think of,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Product Engineer'},0,,"Good work culture
Take care of employees",,0.0,,0.0,0,0,5,POSITIVE,0.0,0.0,2021-05-07T07:56:35.677,46616043,Would recommend people to work for gojek
